#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
chelnov;chelnov;Arcade;;;;;;;;;;;;;;
cheyenne;cheyenne;Arcade;;;;;;;;;;;;;;
chiller;chiller;Arcade;;;;;;;;;;;;;;
chimerab;chimerab;Arcade;;;;;;;;;;;;;;
chinagat;chinagat;Arcade;;;;;;;;;;;;;;
chinhero;chinhero;Arcade;;;;;;;;;;;;;;
chokchok;chokchok;Arcade;;;;;;;;;;;;;;
choplift;choplift;Arcade;;;;;;;;;;;;;;
chopper;chopper;Arcade;;;;;;;;;;;;;;
chukatai;chukatai;Arcade;;;;;;;;;;;;;;
circusc;circusc;Arcade;;;;;;;;;;;;;;
citybomb;citybomb;Arcade;;;;;;;;;;;;;;
citycon;citycon;Arcade;;;;;;;;;;;;;;
cloak;cloak;Arcade;;;;;;;;;;;;;;
cninja;cninja;Arcade;;;;;;;;;;;;;;
cobracom;cobracom;Arcade;;;;;;;;;;;;;;
colony7;colony7;Arcade;;;;;;;;;;;;;;
columns;columns;Arcade;;;;;;;;;;;;;;
columns2;columns2;Arcade;;;;;;;;;;;;;;
combatsc;combatsc;Arcade;;;;;;;;;;;;;;
combh;combh;Arcade;;;;;;;;;;;;;;
commando;commando;Arcade;;;;;;;;;;;;;;
congo;congo;Arcade;;;;;;;;;;;;;;
contra;contra;Arcade;;;;;;;;;;;;;;
cop01;cop01;Arcade;;;;;;;;;;;;;;
cosmccop;cosmccop;Arcade;;;;;;;;;;;;;;
cosmogng;cosmogng;Arcade;;;;;;;;;;;;;;
cotton;cotton;Arcade;;;;;;;;;;;;;;
crazyfgt;crazyfgt;Arcade;;;;;;;;;;;;;;
crimec;crimec;Arcade;;;;;;;;;;;;;;
crimfght;crimfght;Arcade;;;;;;;;;;;;;;
crush;crush;Arcade;;;;;;;;;;;;;;
crusherm;crusherm;Arcade;;;;;;;;;;;;;;
csclub;csclub;Arcade;;;;;;;;;;;;;;
csilver;csilver;Arcade;;;;;;;;;;;;;;
csprint;csprint;Arcade;;;;;;;;;;;;;;
ctribe;ctribe;Arcade;;;;;;;;;;;;;;
cutefght;cutefght;Arcade;;;;;;;;;;;;;;
cybattlr;cybattlr;Arcade;;;;;;;;;;;;;;
cybots;cybots;Arcade;;;;;;;;;;;;;;
daikaiju;daikaiju;Arcade;;;;;;;;;;;;;;
daioh;daioh;Arcade;;;;;;;;;;;;;;
dangar;dangar;Arcade;;;;;;;;;;;;;;
dangerz;dangerz;Arcade;;;;;;;;;;;;;;
dangseed;dangseed;Arcade;;;;;;;;;;;;;;
daraku;daraku;Arcade;;;;;;;;;;;;;;
darkmist;darkmist;Arcade;;;;;;;;;;;;;;
darkseal;darkseal;Arcade;;;;;;;;;;;;;;
darktowr;darktowr;Arcade;;;;;;;;;;;;;;
darwin;darwin;Arcade;;;;;;;;;;;;;;
dbldynj;dbldynj;Arcade;;;;;;;;;;;;;;
dblewing;dblewing;Arcade;;;;;;;;;;;;;;
dbreed;dbreed;Arcade;;;;;;;;;;;;;;
dbz;dbz;Arcade;;;;;;;;;;;;;;
dbz2;dbz2;Arcade;;;;;;;;;;;;;;
dcon;dcon;Arcade;;;;;;;;;;;;;;
dday;dday;Arcade;;;;;;;;;;;;;;
ddcrew;ddcrew;Arcade;;;;;;;;;;;;;;
ddonpach;ddonpach;Arcade;;;;;;;;;;;;;;
ddp3;ddp3;Arcade;;;;;;;;;;;;;;
ddragon;ddragon;Arcade;;;;;;;;;;;;;;
ddragon2;ddragon2;Arcade;;;;;;;;;;;;;;
ddragon3;ddragon3;Arcade;;;;;;;;;;;;;;
ddribble;ddribble;Arcade;;;;;;;;;;;;;;
ddsom;ddsom;Arcade;;;;;;;;;;;;;;
ddtod;ddtod;Arcade;;;;;;;;;;;;;;
ddungeon;ddungeon;Arcade;;;;;;;;;;;;;;
ddux;ddux;Arcade;;;;;;;;;;;;;;
deadang;deadang;Arcade;;;;;;;;;;;;;;
deadconx;deadconx;Arcade;;;;;;;;;;;;;;
demonwld;demonwld;Arcade;;;;;;;;;;;;;;
denjinmk;denjinmk;Arcade;;;;;;;;;;;;;;
desertbr;desertbr;Arcade;;;;;;;;;;;;;;
devilw;devilw;Arcade;;;;;;;;;;;;;;
devstors;devstors;Arcade;;;;;;;;;;;;;;
dietgo;dietgo;Arcade;;;;;;;;;;;;;;
digdug;digdug;Arcade;;;;;;;;;;;;;;
dimahoo;dimahoo;Arcade;;;;;;;;;;;;;;
dingo;dingo;Arcade;;;;;;;;;;;;;;
dino;dino;Arcade;;;;;;;;;;;;;;
dinorex;dinorex;Arcade;;;;;;;;;;;;;;
disco;disco;Arcade;;;;;;;;;;;;;;
diverboy;diverboy;Arcade;;;;;;;;;;;;;;
djboy;djboy;Arcade;;;;;;;;;;;;;;
dkong;dkong;Arcade;;;;;;;;;;;;;;
dkong3;dkong3;Arcade;;;;;;;;;;;;;;
dkongjr;dkongjr;Arcade;;;;;;;;;;;;;;
dmnfrntpcb;dmnfrntpcb;Arcade;;;;;;;;;;;;;;
docastle;docastle;Arcade;;;;;;;;;;;;;;
dockman;dockman;Arcade;;;;;;;;;;;;;;
dogfgt;dogfgt;Arcade;;;;;;;;;;;;;;
dogfight;dogfight;Arcade;;;;;;;;;;;;;;
dogyuun;dogyuun;Arcade;;;;;;;;;;;;;;
dokidoki;dokidoki;Arcade;;;;;;;;;;;;;;
dommy;dommy;Arcade;;;;;;;;;;;;;;
dondokod;dondokod;Arcade;;;;;;;;;;;;;;
donpachi;donpachi;Arcade;;;;;;;;;;;;;;
dorodon;dorodon;Arcade;;;;;;;;;;;;;;
dowild;dowild;Arcade;;;;;;;;;;;;;;
downtown;downtown;Arcade;;;;;;;;;;;;;;
dragnblz;dragnblz;Arcade;;;;;;;;;;;;;;
dreamwld;dreamwld;Arcade;;;;;;;;;;;;;;
drgnbstr;drgnbstr;Arcade;;;;;;;;;;;;;;
drgnmst;drgnmst;Arcade;;;;;;;;;;;;;;
drifto94;drifto94;Arcade;;;;;;;;;;;;;;
drmicro;drmicro;Arcade;;;;;;;;;;;;;;
drtoppel;drtoppel;Arcade;;;;;;;;;;;;;;
dsaber;dsaber;Arcade;;;;;;;;;;;;;;
dsoccr94;dsoccr94;Arcade;;;;;;;;;;;;;;
dspirit;dspirit;Arcade;;;;;;;;;;;;;;
dstlk;dstlk;Arcade;;;;;;;;;;;;;;
dyger;dyger;Arcade;;;;;;;;;;;;;;
dynablst;dynablst;Arcade;;;;;;;;;;;;;;
dynagear;dynagear;Arcade;;;;;;;;;;;;;;
dynduke;dynduke;Arcade;;;;;;;;;;;;;;
